unit,cycle,fold,actual,predicted,error,phase,rul_band,cap_error_floor,lifetime_above_training_max,fixed_checkpoint
1,1.0,1,191.0,174.78558808806144,-16.214411911938555,early,>100,16.0,False,False
1,2.0,1,190.0,160.12332087305325,-29.876679126946755,early,>100,15.0,False,False
1,3.0,1,189.0,162.62036146139243,-26.379638538607566,early,>100,14.0,False,False
1,4.0,1,188.0,161.36404096006063,-26.635959039939365,early,>100,13.0,False,False
1,5.0,1,187.0,159.62148901012188,-27.378510989878123,early,>100,12.0,False,False
1,6.0,1,186.0,162.64589262932324,-23.354107370676758,early,>100,11.0,False,False
1,7.0,1,185.0,158.7682842461753,-26.231715753824687,early,>100,10.0,False,False
1,8.0,1,184.0,147.47880026461164,-36.521199735388365,early,>100,9.0,False,False
1,9.0,1,183.0,145.04861726673397,-37.95138273326603,early,>100,8.0,False,False
1,10.0,1,182.0,147.7708835472287,-34.22911645277131,early,>100,7.0,False,False
1,11.0,1,181.0,149.3594309278813,-31.640569072118694,early,>100,6.0,False,False
1,12.0,1,180.0,155.6930469234286,-24.306953076571403,early,>100,5.0,False,False
1,13.0,1,179.0,157.21371759250718,-21.78628240749282,early,>100,4.0,False,False
1,14.0,1,178.0,159.7021149135934,-18.29788508640661,early,>100,3.0,False,False
1,15.0,1,177.0,162.54572579833624,-14.454274201663765,early,>100,2.0,False,False
1,16.0,1,176.0,161.97241308076553,-14.027586919234466,early,>100,1.0,False,False
1,17.0,1,175.0,162.1578524549101,-12.842147545089887,early,>100,0.0,False,False
1,18.0,1,174.0,162.15722214255257,-11.84277785744743,early,>100,0.0,False,False
1,19.0,1,173.0,162.12633667471084,-10.873663325289158,early,>100,0.0,False,False
1,20.0,1,172.0,161.9247213470419,-10.075278652958104,early,>100,0.0,False,False
1,21.0,1,171.0,159.9679547958939,-11.032045204106112,early,>100,0.0,False,False
1,22.0,1,170.0,157.71012052112664,-12.28987947887336,early,>100,0.0,False,False
1,23.0,1,169.0,150.88178615161962,-18.11821384838038,early,>100,0.0,False,False
1,24.0,1,168.0,151.68061414718804,-16.319385852811962,early,>100,0.0,False,False
1,25.0,1,167.0,150.71253213956692,-16.287467860433082,early,>100,0.0,False,False
1,26.0,1,166.0,155.35379730594116,-10.646202694058843,early,>100,0.0,False,False
1,27.0,1,165.0,160.000294936681,-4.9997050633189986,early,>100,0.0,False,False
1,28.0,1,164.0,162.97891047701233,-1.0210895229876655,early,>100,0.0,False,False
1,29.0,1,163.0,165.07758750126837,2.0775875012683684,early,>100,0.0,False,False
1,30.0,1,162.0,165.41452066552796,3.4145206655279594,early,>100,0.0,False,False
1,31.0,1,161.0,164.13604290678853,3.136042906788532,early,>100,0.0,False,False
