source_index,actual,predicted,lower,upper,supported
692,91.16538871074684,84.7957742874061,81.87502882397352,87.71651975083869,True
693,90.7119232558398,83.85217277978168,80.9314273163491,86.77291824321426,True
694,90.64298396565434,83.0830080324665,80.16226256903391,86.00375349589908,True
695,90.72121223369986,82.97993150549804,80.05918604206546,85.90067696893063,True
696,90.6400166926521,82.86840255286572,79.94765708943314,85.7891480162983,True
697,89.73019351597647,81.95779864464102,79.03705318120844,84.8785441080736,True
698,90.82595856469165,83.82408461654259,80.90333915311001,86.74483007997517,True
699,90.9916778259512,83.83762030099396,80.91687483756138,86.75836576442654,True
700,90.8490493220364,83.16292982157219,80.24218435813961,86.08367528500477,True
701,90.23801355384494,83.20907162841141,80.28832616497883,86.12981709184399,True
702,90.1088944070434,83.52992664721485,80.60918118378227,86.45067211064743,True
703,90.50271878055877,83.29887147488975,80.37812601145717,86.21961693832233,True
704,90.95809351787275,83.42308155082736,80.50233608739478,86.34382701425994,True
705,90.31722906153657,83.30982991780773,80.38908445437515,86.23057538124031,True
706,90.60003189373973,83.91377519531252,80.99302973187994,86.8345206587451,True
707,90.46192847893764,83.6678349438751,80.74708948044253,86.58858040730769,True
708,89.10358858002668,82.33132689644785,79.41058143301527,85.25207235988043,True
709,90.72752281170524,83.9316407154505,81.01089525201792,86.85238617888308,True
710,90.4576742582141,83.86772531862536,80.94697985519278,86.78847078205794,True
711,90.32775754046854,83.762493448794,80.84174798536142,86.68323891222659,True
712,90.1200827979746,84.00117733653737,81.08043187310479,86.92192279996995,True
713,89.821658416615,83.38715965387263,80.46641419044005,86.30790511730521,True
714,90.44018465254145,83.4275908917624,80.50684542832983,86.34833635519499,True
715,89.57763874374825,83.52938695565071,80.60864149221813,86.45013241908329,True
716,89.26687596119785,83.49270789911006,80.57196243567748,86.41345336254264,True
717,89.66046051626545,83.39589701065762,80.47515154722504,86.3166424740902,True
718,89.36548855551057,83.77461919430488,80.8538737308723,86.69536465773746,True
719,88.50463126662225,82.26034900464659,79.339603541214,85.18109446807917,True
788,82.80353048087701,79.11527514948051,76.19452968604793,82.03602061291309,True
789,89.07774374754558,85.94187096363925,83.02112550020667,88.86261642707183,True
790,88.0984613911459,85.36631403702958,82.445568573597,88.28705950046216,True
791,87.58775159371125,84.49194900351819,81.5712035400856,87.41269446695077,True
792,86.90844035181038,84.19222143396874,81.27147597053616,87.11296689740132,True
793,87.5337264673067,84.12283111126109,81.20208564782851,87.04357657469367,True
794,87.4552382453058,83.92131818002183,81.00057271658925,86.84206364345441,True
795,86.26272014382738,83.3395079046777,80.41876244124512,86.26025336811028,True
796,85.56310683822126,82.72989438785343,79.80914892442085,85.65063985128602,True
797,84.95209196355637,82.04216640804924,79.12142094461666,84.96291187148182,True
798,85.92885019766489,82.53892470031082,79.61817923687823,85.4596701637434,True
799,85.1623614609335,82.30624127520987,79.38549581177729,85.22698673864245,True
800,84.47290223311519,81.62121596949602,78.70047050606344,84.5419614329286,True
801,83.78068146359588,80.92061212113315,77.99986665770057,83.84135758456573,True
802,83.59203570435827,81.01105564989533,78.09031018646274,83.93180111332791,True
803,86.16528340602223,82.1378011178205,79.21705565438792,85.05854658125308,True
804,85.46036452536416,82.40642747832547,79.48568201489289,85.32717294175805,True
805,84.20008671722854,81.26719500841162,78.34644954497904,84.1879404718442,True
806,83.44934940650201,80.95317518886883,78.03242972543624,83.87392065230141,True
807,83.10344681418572,80.60873571997675,77.68799025654417,83.52948118340933,True
808,83.43524812624086,80.37428831639748,77.4535428529649,83.29503377983006,True
809,82.63810917752315,80.56540304864382,77.64465758521123,83.4861485120764,True
810,82.4240683117622,79.46150776147655,76.54076229804397,82.38225322490914,True
811,81.53703221566047,79.47105577183937,76.5503103084068,82.39180123527196,True
812,81.1615115089645,79.28190999042494,76.36116452699235,82.20265545385752,True
813,82.70953270197195,80.03405512143273,77.11330965800015,82.95480058486531,True
814,81.92571983084925,79.4227193367228,76.50197387329023,82.34346480015539,True
815,80.9423836678809,79.12650310354306,76.20575764011048,82.04724856697564,True
816,80.67106133875703,78.16135459499486,75.24060913156228,81.08210005842744,True
817,80.33221800880993,78.14673147299429,75.22598600956171,81.06747693642687,True
818,80.69193938469499,78.28099812766406,75.36025266423148,81.20174359109664,True
819,79.81647506636371,78.03696976928337,75.11622430585079,80.95771523271596,True
820,79.45392933703495,77.60389338075461,74.68314791732203,80.5246388441872,True
821,79.02740716154787,76.90794946001324,73.98720399658066,79.82869492344582,True
822,79.23065527135404,76.78281436997274,73.86206890654016,79.70355983340532,True
823,79.68325610610368,77.5518301331089,74.63108466967631,80.47257559654147,True
824,79.24937063480444,77.36274597538788,74.4420005119553,80.28349143882046,True
825,78.93532484708231,76.55667427256954,73.63592880913696,79.47741973600212,True
826,78.53527580484835,76.26118643664955,73.34044097321697,79.18193190008213,True
827,78.1390202214241,75.79772038631742,72.87697492288484,78.71846584975,True
828,83.33375971262886,77.97364792046115,75.05290245702857,80.89439338389373,True
829,91.64291814771586,85.81700844027782,82.89626297684524,88.7377539037104,True
830,90.69917501472568,85.08008014832743,82.15933468489484,88.00082561176,True
831,90.22193666757416,84.68917306183572,81.76842759840314,87.6099185252683,True
832,90.10738421456476,84.36673620232037,81.44599073888779,87.28748166575295,True
833,88.57823754899418,83.53467337535454,80.61392791192196,86.45541883878712,True
834,90.69964082889771,84.09683182672745,81.17608636329487,87.01757729016003,True
835,90.06630520599427,83.36745326968304,80.44670780625046,86.28819873311562,True
836,89.41861291966784,80.02653094882447,77.10578548539189,82.94727641225705,False
837,88.8270082868658,82.42479223690721,79.50404677347463,85.34553770033979,False
838,89.28104565911615,82.83063420991735,79.90988874648477,85.75137967334993,False
839,89.0681701834297,82.76500975237025,79.84426428893767,85.68575521580283,True
840,88.4244919198562,81.53784266372584,78.61709720029326,84.45858812715842,True
841,88.32526191457029,81.53717321842258,78.61642775499,84.45791868185516,True
842,87.58702639608835,81.18338105745191,78.26263559401933,84.10412652088449,True
843,86.76174657027508,81.75244017102465,78.83169470759206,84.67318563445723,True
844,88.9138913727459,82.85899018290077,79.93824471946819,85.77973564633335,True
845,88.24947429853695,82.17713424037656,79.25638877694398,85.09787970380914,True
846,88.12956417667756,80.61843508058688,77.6976896171543,83.53918054401946,True
847,87.2157288060791,81.07088042004114,78.15013495660855,83.99162588347372,True
848,88.14186876759238,81.38362738554183,78.46288192210925,84.30437284897441,True
849,87.39289654739855,81.3881004712903,78.46735500785772,84.30884593472288,True
850,87.20583669432496,80.64647052778167,77.72572506434909,83.56721599121425,True
851,86.34211466408695,80.55054694213729,77.6298014787047,83.47129240556987,True
852,86.01546746521132,80.11927693592253,77.19853147248995,83.04002239935511,True
853,86.97122758349889,81.15887593183577,78.23813046840318,84.07962139526835,True
854,86.83692208186007,80.5210089061201,77.60026344268752,83.44175436955268,True
855,85.84817342242715,79.89374476051168,76.9729992970791,82.81449022394426,True
856,85.63886779183179,79.231342300423,76.31059683699041,82.15208776385558,True
857,85.30541733277033,79.07635155320932,76.15560608977674,81.9970970166419,True
858,85.68663481037605,79.39011969719962,76.46937423376704,82.3108651606322,True
859,85.46737898963487,79.13166469766406,76.21091923423148,82.05241016109665,True
860,84.50500227057795,78.5049077140959,75.58416225066333,81.42565317752849,True
