source_index,actual,predicted,lower,upper,supported
0,124.0,75.64947652347657,68.73903241203246,82.55992063492067,True
1,123.0,75.5536052614053,68.64316114996119,82.4640493728494,True
2,122.0,73.92634963369967,67.01590552225557,80.83679374514378,True
3,121.0,80.47154487179492,73.56110076035081,87.38198898323903,True
4,120.0,80.45600670440676,73.54556259296265,87.36645081585087,True
5,119.0,74.44451262071267,67.53406850926856,81.35495673215678,True
6,118.0,73.67165223110226,66.76120811965815,80.58209634254636,True
7,117.0,79.99581002331007,73.08536591186596,86.90625413475418,True
8,116.0,80.21148830613835,73.30104419469424,87.12193241758246,True
9,115.0,80.12523700743702,73.21479289599291,87.03568111888113,True
10,114.0,79.72214804639805,72.81170393495394,86.63259215784215,True
11,113.0,80.98108974913973,74.07064563769562,87.89153386058383,True
12,112.0,81.40148578088576,74.49104166944166,88.31192989232987,True
13,111.0,80.99023347208347,74.07978936063937,87.90067758352758,True
14,110.0,80.26748845043844,73.35704433899433,87.17793256188254,True
15,109.0,80.48934898434898,73.57890487290487,87.39979309579309,True
16,108.0,81.99929566544564,75.08885155400154,88.90973977688975,True
17,107.0,82.50785352980351,75.5974094183594,89.41829764124762,True
18,106.0,81.89410627150625,74.98366216006214,88.80455038295035,True
19,105.0,80.36210360195363,73.45165949050953,87.27254771339774,True
20,104.0,80.59084898434901,73.6804048729049,87.50129309579312,True
21,103.0,80.97525648795649,74.06481237651238,87.8857005994006,True
22,102.0,80.07862604062603,73.16818192918193,86.98907015207014,True
23,101.0,78.66471990786997,71.75427579642586,85.57516401931407,True
24,100.0,82.08630837495838,75.17586426351427,88.99675248640249,True
25,99.0,79.72538189033192,72.81493777888781,86.63582600177602,True
26,98.0,80.04980954600953,73.13936543456542,86.96025365745363,True
27,97.0,79.15381647241647,72.24337236097236,86.06426058386057,True
28,96.0,77.99436493506495,71.08392082362084,84.90480904650906,True
29,95.0,78.6083456931957,71.6979015817516,85.51878980463981,True
30,94.0,83.06179388944385,76.15134977799974,89.97223800088796,True
31,93.0,82.51826531801532,75.60782120657122,89.42870942945943,True
32,92.0,81.18245447885445,74.27201036741035,88.09289859029856,True
33,91.0,78.65823593073591,71.7477918192918,85.56868004218002,False
34,90.0,76.94931960261958,70.03887549117547,83.85976371406369,True
35,89.0,77.4158151015651,70.505370990121,84.32625921300921,False
36,88.0,76.44043364413365,69.52998953268954,83.35087775557776,False
37,87.0,73.67898061383062,66.76853650238651,80.58942472527472,False
38,86.0,72.41848492063495,65.50804080919085,79.32892903207906,False
39,85.0,71.41987635697637,64.50943224553227,78.33032046842048,True
40,84.0,71.26149259074262,64.35104847929851,78.17193670218673,False
41,83.0,70.93175124875128,64.02130713730718,77.84219536019539,True
42,82.0,70.48594078699085,63.575496675546745,77.39638489843496,True
